// ID,Name,JName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,ADelay,aMotion,dMotion,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Item1,Item2,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per

1002,Maggot,Maggot,1,45,0,5,2,1,5,10,0,5,1,1,1,0,6,30,1,1,1,3,21,129,800,1872,672,480,505,800,501,150,518,400,533,150,502,70,522,1,909,0,0,0,0,0,0,0,,,,,,
1003,Scorpion,Scorpion,10,150,0,15,4,1,10,15,0,5,1,1,1,0,15,30,1,1,1,3,21,129,2000,1872,672,480,507,700,510,100,509,50,518,700,909,0,909,0,909,0,0,0,0,0,0,0,,,,,,
1004,RedScorpion,Red Scorpion,90,550,0,180,145,1,50,55,4,6,10,10,10,10,30,10,1,1,1,0,20,129,1000,1872,672,480,517,2000,509,100,518,500,1200,10,1199,760,1201,540,524,5,0,0,0,0,0,0,,,,,,
1005,GreenSlime,Green Slime,40,300,0,60,8,1,25,30,2,7,1,30,1,0,30,30,1,1,1,0,20,131,1500,1872,672,480,502,200,513,100,501,100,521,100,522,190,526,10,503,500,535,750,0,0,0,0,,,,,,
1006,GiantMaggot,Giant Maggot,80,500,0,160,16,2,45,50,2,7,10,8,2,1,22,1,2,1,1,0,20,129,2000,1872,672,480,1199,900,519,100,518,750,501,5000,502,3000,503,11,526,10,0,0,0,0,0,0,,,,,,
1007,Yellow_slime,Yellow Slime,60,400,0,120,2,1,35,40,2,7,10,8,2,1,34,1,1,1,1,0,20,131,1400,1800,672,480,534,200,519,100,501,350,502,250,522,10,909,0,909,0,0,0,0,0,0,0,,,,,,
1008,Red_slime,Red Slime,70,450,0,140,56,1,40,45,2,7,15,10,2,1,25,1,1,1,1,0,20,135,1300,1500,672,480,1201,300,509,110,521,200,523,40,525,80,535,750,528,250,531,150,0,0,0,0,,,,,,
1009,BlackScorpion,Black Scorpion,100,600,0,250,70,1,60,65,4,6,20,20,10,10,35,10,1,1,1,0,20,133,1000,1500,672,480,523,150,509,100,518,800,909,0,909,0,909,0,909,0,0,0,0,0,0,0,,,,,,
1010,Snake,Snake,150,850,0,375,100,1,85,90,4,6,20,20,10,10,35,10,2,1,1,0,20,133,1000,1500,672,480,524,300,0,0,0,0,909,0,909,0,909,0,909,0,0,0,0,0,0,0,,,,,,
1011,FireGoblin,Fire Goblin,20,200,0,30,2,1,15,20,0,5,1,1,1,0,6,30,1,1,1,3,21,129,800,1872,672,480,505,800,501,150,518,800,502,150,521,70,522,1,909,0,0,0,0,0,0,0,,,,,,
1012,Spider,Spider,140,800,0,350,280,1,80,85,4,6,20,20,10,10,35,10,2,1,1,0,25,175,1000,1500,672,480,537,500,535,100,0,0,909,0,909,0,909,0,909,0,0,0,0,0,0,0,,,,,,
1013,EvilMushroom,EvilMushroom,110,650,0,275,110,1,65,70,4,6,20,20,10,10,35,10,1,1,1,3,25,137,800,1800,672,480,535,500,540,5,534,100,566,500,0,0,0,0,909,0,0,0,0,0,0,0,,,,,,
1014,SleepFlower,SleepFlower,120,700,0,300,110,4,70,75,0,5,20,20,20,20,20,20,5,5,1,3,25,128,800,800,672,480,535,100,540,5,1199,100,526,400,565,500,0,0,909,0,0,0,0,0,0,0,,,,,,
1015,SantaSlime,SantaSlime,130,750,0,325,0,2,75,80,2,7,1,30,1,0,30,30,2,2,1,0,20,161,1500,1872,672,480,512,800,513,700,514,600,519,500,527,400,538,500,0,0,0,0,0,0,0,0,,,,,,
1016,RudolphSlime,RudolphSlime,50,350,0,100,16,1,30,35,2,7,1,30,1,0,30,30,1,1,1,0,20,131,1000,1872,672,480,504,800,506,500,508,200,509,300,510,600,515,800,516,500,0,0,0,0,0,0,,,,,,
1017,Bat,Bat,30,250,0,45,2,1,7,10,0,5,1,1,1,0,20,25,1,1,1,3,21,129,800,1872,672,480,505,800,501,150,518,400,533,150,521,70,522,1,909,0,0,0,0,0,0,0,,,,,,
